event_type,count,avg_duration_sec,total_duration_sec,first_event,last_event
SPRINT_PLAN_DRAFT,2,,,2026-01-31 12:43:54.545171,2026-02-01 01:24:10.505941
SPRINT_PLAN_SAVED,1,5072.33,5072.33,2026-02-01 01:24:32.388349,2026-02-01 01:24:32.388349
