run_id,timestamp_utc,participant_id,product_id,condition,mental_demand_0_100,temporal_demand_0_100,performance_0_100_lower_is_better,effort_0_100,frustration_0_100,raw_tlx_mean_0_100,notes
run_01,2026-02-08T00:00:00Z,Alexandre,7,baseline_manual,90,95,80,90,50,81,
run_01,2026-02-08T00:00:00Z,Alexandre,7,experimental_platform,50,20,15,20,30,27,
